fl,fw,gt,inl,inw,k,k_mul,pl,pt,pw,sl,st,sw,x,freq,s11,gain,bandwidth
9.5,3.5,0.4,6.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,3.5,4.1278,-28.749680745602,6.037187875939858,0.30660509440551387
10.0,3.5,0.4,6.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,3.5,4.3581,-19.244800101591,5.873040035090744,0.29251022165967466
10.5,3.5,0.4,6.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,3.5,4.5786,-12.10376723287,5.8327004087928245,0.19294389147691238
11.0,3.5,0.4,6.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,3.5,4.804,-7.371310786062,4.374338927989879
7.5,3.5,0.4,6.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,3.0,3.3781,-12.659006935003,2.9088854923917697,0.15721893791962227
8.0,3.5,0.4,6.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,3.0,3.5202,-15.53719596038,3.9516074659730274,0.21053131143801318
8.5,3.5,0.4,6.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,3.0,3.7015,-21.045996051499,4.60993120829357,0.2674225379722559
9.0,3.5,0.4,6.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,3.0,3.9171,-30.414012350966,5.60346056477471,0.29203898689252306
9.5,3.5,0.4,6.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,3.0,4.0886,-31.74389103951,6.016912286379352,0.30752955103438717
10.0,3.5,0.4,6.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,3.0,4.3581,-19.126807212627,5.893425146542352,0.29448693840658713
10.5,3.5,0.4,6.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,3.0,4.5737,-12.530323946327,5.843277630214025,0.20533827102094726
11.0,3.5,0.4,6.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,3.0,4.8089,-7.3081645331307,4.32878833749934
7.5,3.5,0.4,6.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,2.5,3.3781,-12.509019690275,2.905318790640381,0.15419870840241323
8.0,3.5,0.4,6.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,2.5,3.5594,-15.932147495666,4.142278912654138,0.2145376154096712
8.5,3.5,0.4,6.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,2.5,3.7211,-21.507741236831,4.654469826583084,0.26708810365395363
9.0,3.5,0.4,6.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,2.5,3.8828,-27.904105806036,5.3818319666360095,0.29052518999701116
9.5,3.5,0.4,6.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,2.5,4.0984,-32.053039849607,6.000209266720216,0.3043869354947648
10.0,3.5,0.4,6.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,2.5,4.3091,-19.893695990289,5.658508374578169,0.2943095768216031
10.5,3.5,0.4,6.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,2.5,4.5933,-12.5867003343,5.7445846181361375,0.2077335017735944
11.0,3.5,0.4,6.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,2.5,4.8089,-7.3643343292704,4.251026518403038
7.5,3.5,0.4,6.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,2.0,3.383,-12.42802525236,2.8668133558879405,0.153029991001143
8.0,3.5,0.4,6.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,2.0,3.5594,-15.785314895845,4.154554316786142,0.2130848114781072
8.5,3.5,0.4,6.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,2.0,3.7309,-21.237127634452,4.6838904162058626,0.2658818882899334
9.0,3.5,0.4,6.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,2.0,3.9122,-29.028413683812,5.573491324302017,0.2895159378861978
9.5,3.5,0.4,6.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,2.0,4.1327,-31.200098223853,5.929721586418315,0.30362039181054
10.0,3.5,0.4,6.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,2.0,4.3728,-19.37494187403,5.8909833370269045,0.2948414291777368
10.5,3.5,0.4,6.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,2.0,4.5933,-12.691934418191,5.724682554164131,0.20936445683300065
11.0,3.5,0.4,6.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,2.0,4.7991,-7.6117196888256,4.377989291437808
7.5,3.5,0.4,6.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,1.5,3.3879,-12.617636797162,2.900155907534621,0.1564201235182252
8.0,3.5,0.4,6.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,1.5,3.5643,-15.847377779472,4.169731317697103,0.21409674328210393
8.5,3.5,0.4,6.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,1.5,3.7309,-21.077652478631,4.676175891104804,0.26502608740785627
9.0,3.5,0.4,6.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,1.5,3.9171,-28.754628947971,5.597091127791118,0.2958699843146113
9.5,3.5,0.4,6.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,1.5,4.1327,-31.945605534661,5.939189921163792,0.3032338329349704
10.0,3.5,0.4,6.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,1.5,4.3581,-19.69824310688,5.808547962196887,0.29394111456977523
10.5,3.5,0.4,6.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,1.5,4.5933,-12.660052765346,5.673384832152995,0.2074694107412416
11.0,3.5,0.4,6.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,1.5,4.804,-7.6093338340587,4.3049212837821385
7.5,3.5,0.4,6.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,1.0,3.3928,-12.521408977302,2.900481678246596,0.15509749628059932
8.0,3.5,0.4,6.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,1.0,3.5349,-15.313903035527,3.976979686291909,0.2091440540842724
8.5,3.5,0.4,6.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,1.0,3.7309,-20.972002097169,4.665331739697801,0.26468175641784786
9.0,3.5,0.4,6.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,1.0,3.9269,-28.97740966811,5.641455797358639,0.2935222034422713
9.5,3.5,0.4,6.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,1.0,4.1425,-32.756155682702,5.939839257635874,0.30324058270495335
10.0,3.5,0.4,6.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,1.0,4.3728,-19.650466135137,5.909525542410281,0.2948325724886418
10.5,3.5,0.4,6.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,1.0,4.5933,-12.816992896041,5.689592565629475,0.2123560216693816
11.0,3.5,0.4,6.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,1.0,4.8089,-7.4366274235388,4.194582193978119
7.5,3.5,0.4,5.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,3.5,3.3928,-11.036831817824,3.193910713135132,0.11171493977547264
8.0,3.5,0.4,5.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,3.5,3.5447,-13.345689160279,4.223279336840779,0.191163066596034
8.5,3.5,0.4,5.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,3.5,3.7162,-16.086781770553,4.816244816024907,0.2481799010986081
9.0,3.5,0.4,5.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,3.5,3.922,-19.891243534742,5.831241697452582,0.2947617201824815
9.5,3.5,0.4,5.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,3.5,4.1229,-24.569165792067,6.202632839957684,0.3244446541267392
10.0,3.5,0.4,5.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,3.5,4.363,-41.524484515352,6.253464923450021,0.35261143900447767
10.5,3.5,0.4,5.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,3.5,4.6374,-21.013687296703,6.1061418693590355,0.36964632783598894
11.0,3.5,0.4,5.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,3.5,4.8726,-12.290891977953,5.498680816757024
7.5,3.5,0.4,5.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,3.0,3.3781,-10.722497955241,3.046141924168267,0.09566527704851735
8.0,3.5,0.4,5.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,3.0,3.53,-12.927163356158,4.15550570973,0.18425763159795672
8.5,3.5,0.4,5.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,3.0,3.7309,-16.53318626132,4.825066759343979,0.2552517491466135
9.0,3.5,0.4,5.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,3.0,3.9171,-19.494323368108,5.763044962260718,0.2924706818040681
9.5,3.5,0.4,5.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,3.0,4.1376,-24.077228528473,6.204534652296303,0.3220838986018939
10.0,3.5,0.4,5.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,3.0,4.3777,-38.347774374783,6.246743850623163,0.3502035576879132
10.5,3.5,0.4,5.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,3.0,4.6227,-21.779334579604,6.055937908975166,0.3663162844507406
11.0,3.5,0.4,5.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,3.0,4.8334,-12.936140953491,5.419010009577764,0.26504345915468
7.5,3.5,0.4,5.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,2.5,3.383,-10.659504510669,3.045214399081611,0.0920261100093347
8.0,3.5,0.4,5.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,2.5,3.53,-12.91539433269,4.0588980694061,0.18349959075870048
8.5,3.5,0.4,5.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,2.5,3.7211,-15.935242448773,4.782770485153995,0.24630603898368175
9.0,3.5,0.4,5.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,2.5,3.9171,-19.327412131339,5.756943342947529,0.2911031933382815
9.5,3.5,0.4,5.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,2.5,4.118,-23.794477647355,6.127074308862058,0.3204185523566636
10.0,3.5,0.4,5.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,2.5,4.3434,-36.528347007559,6.120331035850838,0.34577568669010894
10.5,3.5,0.4,5.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,2.5,4.6276,-21.931977459128,6.039222858899862,0.36253168706197947
11.0,3.5,0.4,5.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,2.5,4.8726,-12.520818010897,5.4846777973523535
7.5,3.5,0.4,5.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,2.0,3.4075,-11.165302170087,3.1960696478546513,0.11790105110827875
8.0,3.5,0.4,5.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,2.0,3.5594,-13.21831434696,4.202532245495821,0.1891307175229775
8.5,3.5,0.4,5.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,2.0,3.7309,-16.285210537159,4.782093588636156,0.2523545354621386
9.0,3.5,0.4,5.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,2.0,3.9171,-19.135725916786,5.734037444931019,0.28985377311770755
9.5,3.5,0.4,5.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,2.0,4.1278,-23.32637442274,6.134956846502027,0.3190298105700249
10.0,3.5,0.4,5.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,2.0,4.363,-34.847619072345,6.18239561395863,0.34675195765184164
10.5,3.5,0.4,5.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,2.0,4.6374,-22.105011688079,6.055736853768724,0.3654907709330244
11.0,3.5,0.4,5.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,2.0,4.8873,-12.20916577352,5.507422699914881
7.5,3.5,0.4,5.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,1.5,3.4075,-11.141950629487,3.1746299861640512,0.11678364020495646
8.0,3.5,0.4,5.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,1.5,3.5545,-13.168122935942,4.188553668638735,0.18801805846197084
8.5,3.5,0.4,5.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,1.5,3.726,-15.714476770725,4.80099582410444,0.2436886335852284
9.0,3.5,0.4,5.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,1.5,3.9171,-19.072248643053,5.723894456451223,0.28820818349149446
9.5,3.5,0.4,5.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,1.5,4.1376,-23.209993879305,6.1528042027907315,0.31810293923987665
10.0,3.5,0.4,5.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,1.5,4.3777,-35.218198370387,6.231554184493632,0.3471746837406888
10.5,3.5,0.4,5.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,1.5,4.6227,-22.803775751518,6.06195272840135,0.36126365883969935
11.0,3.5,0.4,5.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,1.5,4.8726,-12.70193713231,5.459390678604052
7.5,3.5,0.4,5.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,1.0,3.4173,-11.18386123343,3.2022977077243935,0.11882365788236715
8.0,3.5,0.4,5.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,1.0,3.5692,-13.226573316513,4.155331334046628,0.18931346372580293
8.5,3.5,0.4,5.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,1.0,3.726,-15.615838718296,4.8020685686867814,0.24248906682259852
9.0,3.5,0.4,5.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,1.0,3.9171,-18.905931071466,5.704531850320885,0.28728292150531765
9.5,3.5,0.4,5.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,1.0,4.1278,-22.977923824403,6.107852111804446,0.31695452319326245
10.0,3.5,0.4,5.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,1.0,4.3777,-34.461514896484,6.2272485324155396,0.3467631226268031
10.5,3.5,0.4,5.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,1.0,4.5737,-23.757046235787,6.162937921719451,0.35263716012048807
11.0,3.5,0.4,5.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,1.0,4.8922,-12.430515837934,5.468699851233078
7.5,3.5,0.4,4.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,3.5,3.3879,-10.05558497329,3.228407163003358,0.02812674435699236
8.0,3.5,0.4,4.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,3.5,3.5496,-11.808433722702,4.2047327978435005,0.15822468423644054
8.5,3.5,0.4,4.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,3.5,3.7211,-14.182788186593,4.918547637602416,0.23533897671287018
9.0,3.5,0.4,4.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,3.5,3.8681,-15.740758409541,5.599643707079896,0.27966216220444684
9.5,3.5,0.4,4.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,3.5,4.1278,-18.195635290324,6.295019681042662,0.3178801571958916
10.0,3.5,0.4,4.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,3.5,4.3679,-21.017430659523,6.412761969259181,0.35966196326852984
10.5,3.5,0.4,4.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,3.5,4.6423,-31.071470358438,6.335651572399941,0.443363778012106
11.0,3.5,0.4,4.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,3.5,4.9412,-19.14807118025,6.128225022139248
7.5,3.5,0.4,4.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,3.0,3.3977,-10.050491266849,3.2613053222701733,0.027066106539213486
8.0,3.5,0.4,4.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,3.0,3.5349,-11.629545608183,4.190240276012036,0.15105958055961777
8.5,3.5,0.4,4.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,3.0,3.7162,-13.708171501998,4.882449244739457,0.22354657941425238
9.0,3.5,0.4,4.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,3.0,3.9024,-15.880464724873,5.780778044850666,0.277702743564471
9.5,3.5,0.4,4.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,3.0,4.118,-17.787095584377,6.257510082218499,0.3135591490653895
10.0,3.5,0.4,4.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,3.0,4.3679,-20.592412814684,6.332002179908654,0.35635745664430996
10.5,3.5,0.4,4.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,3.0,4.6374,-29.533525510487,6.281485613987147,0.43928737339690116
11.0,3.5,0.4,4.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,3.0,4.9363,-19.558091072758,6.109230818209927
7.5,3.5,0.4,4.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,2.5,3.3977,-10.040278856283,3.2351918012072574,0.02464278807580067
8.0,3.5,0.4,4.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,2.5,3.5496,-11.657213234672,4.227103215960565,0.1524306650869529
8.5,3.5,0.4,4.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,2.5,3.7162,-13.571187219957,4.839969169824558,0.2206378001752065
